Size,Average,STD Deviation
10,6.100023165345192e-06,8.28347089765066e-06
30,1.3009988470003009e-05,4.2772551836402394e-06
50,3.098999732173979e-05,3.540737478098825e-06
70,6.096999859437346e-05,7.617087195307163e-06
100,0.00013005000073462725,5.866730426867865e-06
200,0.0005465000052936375,2.3833710118410106e-05
300,0.0010514300025533884,1.9553824262272583e-05
500,0.003936410002643243,4.58345162887812e-05
700,0.008028810005635023,0.00019958792972788258
1000,0.018161630001850428,0.0013588865088036545
